,city_state,name,m_type,state_abrev,state_full,latitude,longitude,county
297,"McCaysville city, Georgia",McCaysville,city,GA,Georgia,34.9861914,-84.37131169999999,Fannin County
298,"McDonough city, Georgia",McDonough,city,GA,Georgia,33.4473361,-84.1468616,Henry County
299,"McIntyre town, Georgia",McIntyre,town,GA,Georgia,32.8470477,-83.2018485,Wilkinson County
300,"Macon-Bibb County, Georgia",Macon-Bibb County,county,GA,Georgia,32.8406946,-83.6324022,Bibb County
301,"McRae-Helena city, Georgia",McRae-Helena,city,GA,Georgia,32.0681233,-82.9009674,Telfair County
302,"Madison city, Georgia",Madison,city,GA,Georgia,33.5956813,-83.467944,Morgan County
303,"Manassas city, Georgia",Manassas,city,GA,Georgia,32.1604689,-82.01956249999999,Tattnall County
304,"Manchester city, Georgia",Manchester,city,GA,Georgia,32.8598538,-84.6199251,Meriwether County
305,"Mansfield city, Georgia",Mansfield,city,GA,Georgia,33.5178968,-83.73434429999999,Newton County
306,"Marietta city, Georgia",Marietta,city,GA,Georgia,33.95260200000001,-84.5499327,Cobb County
