city_state,name,m_type,state_abrev,state_full
"Rentz city, Georgia",Rentz,city,GA,Georgia
"Resaca town, Georgia",Resaca,town,GA,Georgia
"Rest Haven town, Georgia",Rest Haven,town,GA,Georgia
"Reynolds city, Georgia",Reynolds,city,GA,Georgia
"Rhine town, Georgia",Rhine,town,GA,Georgia
"Riceboro city, Georgia",Riceboro,city,GA,Georgia
"Richland city, Georgia",Richland,city,GA,Georgia
"Richmond Hill city, Georgia",Richmond Hil,city,GA,Georgia
"Riddleville town, Georgia",Riddleville,town,GA,Georgia
"Rincon city, Georgia",Rincon,city,GA,Georgia
"Ringgold city, Georgia",Ringgold,city,GA,Georgia
"Riverdale city, Georgia",Riverdale,city,GA,Georgia
"Roberta city, Georgia",Roberta,city,GA,Georgia
"Rochelle city, Georgia",Rochelle,city,GA,Georgia
"Rockmart city, Georgia",Rockmart,city,GA,Georgia
"Rocky Ford town, Georgia",Rocky Ford,town,GA,Georgia
"Rome city, Georgia",Rome,city,GA,Georgia
"Roopville town, Georgia",Roopville,town,GA,Georgia
"Rossville city, Georgia",Rossville,city,GA,Georgia
"Roswell city, Georgia",Roswell,city,GA,Georgia
"Royston city, Georgia",Royston,city,GA,Georgia
"Rutledge city, Georgia",Rutledge,city,GA,Georgia
"St. Marys city, Georgia",St. Marys,city,GA,Georgia
"Sale City city, Georgia",Sale City,city,GA,Georgia
"Sandersville city, Georgia",Sandersville,city,GA,Georgia
"Sandy Springs city, Georgia",Sandy Springs,city,GA,Georgia
"Santa Claus city, Georgia",Santa Claus,city,GA,Georgia
"Sardis city, Georgia",Sardis,city,GA,Georgia
"Sasser town, Georgia",Sasser,town,GA,Georgia
"Savannah city, Georgia",Savannah,city,GA,Georgia
"Scotland city, Georgia",Scotland,city,GA,Georgia
"Screven city, Georgia",Screven,city,GA,Georgia
"Senoia city, Georgia",Senoia,city,GA,Georgia
"Shady Dale town, Georgia",Shady Dale,town,GA,Georgia
"Sharon city, Georgia",Sharon,city,GA,Georgia
"Sharpsburg town, Georgia",Sharpsburg,town,GA,Georgia
"Shellman city, Georgia",Shellman,city,GA,Georgia
"Shiloh city, Georgia",Shiloh,city,GA,Georgia
"Siloam town, Georgia",Siloam,town,GA,Georgia
"Sky Valley city, Georgia",Sky  Valley,city,GA,Georgia
"Smithville city, Georgia",Smithville,city,GA,Georgia
"Smyrna city, Georgia",Smyrna,city,GA,Georgia
"Snellville city, Georgia",Snellville,city,GA,Georgia
"Social Circle city, Georgia",Social Circle,city,GA,Georgia
"Soperton city, Georgia",Soperton,city,GA,Georgia
"South Fulton city, Georgia",South Fulton,city,GA,Georgia
"Sparks town, Georgia",Sparks,town,GA,Georgia
"Sparta city, Georgia",Sparta,city,GA,Georgia
"Springfield city, Georgia",Springfield,city,GA,Georgia
"Stapleton city, Georgia",Stapleton,city,GA,Georgia
"Statesboro city, Georgia",Statesboro,city,GA,Georgia
"Statham city, Georgia",Statham,city,GA,Georgia
"Stillmore city, Georgia",Stillmore,city,GA,Georgia
"Stockbridge city, Georgia",Stockbridge,city,GA,Georgia
"Stonecrest city, Georgia",Stonecrest,city,GA,Georgia
"Stone Mountain city, Georgia",Stone Mountain,city,GA,Georgia
"Sugar Hill city, Georgia",Sugar,city,GA,Georgia
"Summertown city, Georgia",Summertown,city,GA,Georgia
"Summerville city, Georgia",Summerville,city,GA,Georgia
"Sumner town, Georgia",Sumner,town,GA,Georgia
"Sunny Side city, Georgia",Sunny Side,city,GA,Georgia
"Surrency town, Georgia",Surrency,town,GA,Georgia
"Suwanee city, Georgia",Suwanee,city,GA,Georgia
"Swainsboro city, Georgia",Swainsboro,city,GA,Georgia
"Sycamore city, Georgia",Sycamore,city,GA,Georgia
